web-scraper-order,web-scraper-start-url,price,rooms,bathrooms,sizem2,zone
"1606144674-845","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=289","890€","3 Hab","1 Baño","70m2","Eixample, Dreta Eixample, Barcelona"
"1606144906-2137","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=203","1.100€","2 Hab","1 Baño","70m2","Mallorca, Eixample, Esquerra del eixample, Antiga Esquerra Eixample, Barcelona"
"1606144621-552","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=309","1.200€","3 Hab","2 Baños","85m2","Calle valencia, Eixample, Sagrada Família, Barcelona"
"1606145259-4101","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=72","990€","2 Hab","2 Baños","80m2","camp, Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145283-4239","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=63","1.350€","3 Hab","1 Baño","120m2","Eixample, Nova Esquerra Eixample, Barcelona"
"1606144586-354","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=322","850€","1 Hab","1 Baño","40m2","Ciutat Vella, Raval, Barcelona"
"1606144890-2054","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=209","1.000€","2 Hab","1 Baño","60m2","Calle lepanto, Eixample, Sagrada Família, Barcelona"
"1606144690-931","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=283","850€","3 Hab","1 Baño","68m2","Sant Martí, El Camp de l'Arpa del Clot, Barcelona"
"1606144602-450","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=316","1.500€","6 Hab","3 Baños","147m2","Ciutat Vella, Gòtic, Barcelona"
"1606145353-4628","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=37","2.033€","3 Hab","3 Baños","174m2","Eixample, Dreta Eixample, Barcelona"
"1606144632-609","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=305","3.500€","5 Hab","3 Baños","170m2","Sant Martí, El Clot, Barcelona"
"1606145134-3420","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=118","1.800€","2 Hab","2 Baños","60m2","Ciutat Vella, Sant Pere - Santa Caterina i la Ribera, Barcelona"
"1606144571-291","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=326","2.700€","2 Hab","2 Baños","125m2","paris, Eixample, Antiga Esquerra Eixample, Barcelona"
"1606144970-2496","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=179","1.350€","1 Hab","1 Baño","60m2","Calle Carrer d´Aragó, Eixample, Dreta Eixample, Barcelona"
"1606145121-3343","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=123","1.300€","1 Hab","1 Baño","55m2","Eixample, L'Antiga Esquerra de l'Eixample, Antiga Esquerra Eixample, Barcelona"
"1606144890-2050","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=209","1.250€","1 Hab","1 Baño","100m2","Eixample, Dreta Eixample, Barcelona"
"1606145099-3223","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=131","750€","1 Hab","1 Baño","35m2","Calle codols, Ciutat Vella, Gòtic, Barcelona"
